username,password,real_name,student_no,courses
stu101,SmartCarb#2026,汤军,202410100,2
stu102,SmartCarb#2026,林庆,202410101,4
stu103,SmartCarb#2026,陶佳,202410102,4
stu104,SmartCarb#2026,邵强,202410103,4
stu105,SmartCarb#2026,尹晨,202410104,"2,4"
stu106,SmartCarb#2026,卢涵,202410105,"2,5"
stu107,SmartCarb#2026,贾彤,202410106,"4,5"
stu108,SmartCarb#2026,方香,202410107,"2,4"
stu109,SmartCarb#2026,崔俊,202410108,"2,4"
stu110,SmartCarb#2026,韦怡,202410109,4
stu111,SmartCarb#2026,闫轩,202410110,2
stu112,SmartCarb#2026,吕明,202410111,5
stu113,SmartCarb#2026,卢宛,202410112,5
stu114,SmartCarb#2026,宋宇,202410113,5
stu115,SmartCarb#2026,邵子,202410114,2
stu116,SmartCarb#2026,罗鹏,202410115,"4,5"
stu117,SmartCarb#2026,钱晨,202410116,"2,4,5"
stu118,SmartCarb#2026,梁涵,202410117,"2,5"
stu119,SmartCarb#2026,吕泽,202410118,"2,4"
stu120,SmartCarb#2026,郑春,202410119,"4,5"
stu121,SmartCarb#2026,孟博,202410120,2
stu122,SmartCarb#2026,方佳,202410121,4
stu123,SmartCarb#2026,贺宇,202410122,5
stu124,SmartCarb#2026,赵子,202410123,"2,4,5"
stu125,SmartCarb#2026,袁思,202410124,4
stu126,SmartCarb#2026,马宇,202410125,"2,5"
stu127,SmartCarb#2026,谭静,202410126,2
stu128,SmartCarb#2026,徐平,202410127,"2,4"
stu129,SmartCarb#2026,袁军,202410128,"4,5"
stu130,SmartCarb#2026,姚志,202410129,"4,5"
stu131,SmartCarb#2026,顾俊,202410130,"2,4"
stu132,SmartCarb#2026,邵婷,202410131,4
stu133,SmartCarb#2026,毛芬,202410132,2
stu134,SmartCarb#2026,胡洋,202410133,2
stu135,SmartCarb#2026,白雪,202410134,"2,4"
stu136,SmartCarb#2026,石桐,202520035,"2,4"
stu137,SmartCarb#2026,熊国,202520036,"4,5"
stu138,SmartCarb#2026,熊梓,202520037,5
stu139,SmartCarb#2026,姚思,202520038,2
stu140,SmartCarb#2026,闫文,202520039,"2,5"
stu141,SmartCarb#2026,陈洋,202520040,"2,4"
stu142,SmartCarb#2026,龙驰,202520041,"2,5"
stu143,SmartCarb#2026,杜轩,202520042,4
stu144,SmartCarb#2026,曹欣,202520043,"2,5"
stu145,SmartCarb#2026,吕梓,202520044,2
stu146,SmartCarb#2026,闫文,202520045,"2,4"
stu147,SmartCarb#2026,戴燕,202520046,"2,4"
stu148,SmartCarb#2026,谭诗,202520047,5
stu149,SmartCarb#2026,廖雨,202520048,4
stu150,SmartCarb#2026,蔡志,202520049,2
stu151,SmartCarb#2026,余兰,202520050,5
stu152,SmartCarb#2026,万雪,202520051,"4,5"
stu153,SmartCarb#2026,朱宇,202520052,5
stu154,SmartCarb#2026,张伟,202520053,5
stu155,SmartCarb#2026,徐晓,202520054,4
stu156,SmartCarb#2026,孟淑,202520055,2
stu157,SmartCarb#2026,覃嘉,202520056,5
stu158,SmartCarb#2026,严若,202520057,"2,4"
stu159,SmartCarb#2026,肖俊,202520058,"2,4,5"
stu160,SmartCarb#2026,徐泽,202520059,"4,5"
stu161,SmartCarb#2026,莫依,202520060,"2,4"
stu162,SmartCarb#2026,莫国,202520061,"2,5"
stu163,SmartCarb#2026,蔡平,202520062,"2,5"
stu164,SmartCarb#2026,叶燕,202520063,"2,5"
stu165,SmartCarb#2026,严晨,202520064,"2,4"
stu166,SmartCarb#2026,钱若,202520065,"2,4"
stu167,SmartCarb#2026,熊轩,202520066,5
stu168,SmartCarb#2026,白晨,202520067,"2,4,5"
stu169,SmartCarb#2026,钟国,202520068,"2,4"
stu170,SmartCarb#2026,罗昊,202520069,"2,4"
stu171,SmartCarb#2026,吕勇,202520070,"4,5"
stu172,SmartCarb#2026,蔡泽,202520071,"2,4"
stu173,SmartCarb#2026,杜志,202520072,"2,4"
stu174,SmartCarb#2026,郭睿,202520073,2
stu175,SmartCarb#2026,谭一,202520074,"4,5"
stu176,SmartCarb#2026,周墨,202520075,5
stu177,SmartCarb#2026,何诺,202520076,"2,5"
stu178,SmartCarb#2026,朱芬,202520077,2
